Latitude,Longitude,POC,State,County,City,Site.Code,n
17.712474,-64.784868,1,Virgin Islands,St Croix,Not in a city,78-010-0012,729
17.712474,-64.784868,2,Virgin Islands,St Croix,Not in a city,78-010-0012,190
17.712474,-64.784868,3,Virgin Islands,St Croix,Not in a city,78-010-0012,167
17.955378,-66.162122,1,Puerto Rico,Guayama,Guayama,72-057-0012,86
17.957894,-66.165016,1,Puerto Rico,Guayama,Not in a city,72-057-0008,1605
18.009558,-66.627249,1,Puerto Rico,Ponce,Ponce,72-113-0004,1938
18.045111,-66.802253,1,Puerto Rico,Guayanilla,Guayanilla,72-059-0016,1488
18.15344,-65.828617,1,Puerto Rico,Humacao,Humacao,72-069-0001,1082
18.175378,-66.725988,1,Puerto Rico,Adjuntas,Adjuntas,72-001-0002,1127
18.198712,-66.052237,1,Puerto Rico,Caguas,Caguas,72-025-0007,227
18.200099,-67.14588,1,Puerto Rico,Mayagnez,Mayaguez,72-097-0006,284
18.207732,-67.146013,1,Puerto Rico,Mayagnez,Not in a city,72-097-0003,714
18.260509,-66.854065,1,Puerto Rico,Lares,Lares,72-081-0001,454
18.343289,-64.922922,1,Virgin Islands,St Thomas,Charlotte Amalie,78-030-0009,235
18.343811,-64.931389,1,Virgin Islands,St Thomas,Charlotte Amalie,78-030-0010,1059
18.383983,-65.618888,1,Puerto Rico,Fajardo,Not in a city,72-053-0003,3333
18.39982,-66.171125,1,Puerto Rico,Bayamon,Bayamon,72-021-0009,1074
18.420089,-66.150615,1,Puerto Rico,Bayamon,Bayamon,72-021-0010,414
18.420089,-66.150615,3,Puerto Rico,Bayamon,Bayamon,72-021-0010,787
18.440095,-66.11446,1,Puerto Rico,Guaynabo,Guaynabo,72-061-0005,3941
18.440095,-66.11446,2,Puerto Rico,Guaynabo,Guaynabo,72-061-0005,414
18.449814,-66.05251,1,Puerto Rico,San Juan,San Juan,72-127-0003,2713
18.449814,-66.05251,2,Puerto Rico,San Juan,San Juan,72-127-0003,18
19.117561,-155.778136,1,Hawaii,Hawaii,Hawaiian Ocean View,15-001-2020,13170
19.2039,-155.480183,1,Hawaii,Hawaii,Pahala,15-001-2016,13383
19.420506,-155.287853,1,Hawaii,Hawaii,Hawaii Volcanoes National Park,15-001-0007,1411
19.4308,-155.2578,1,Hawaii,Hawaii,Hawaii Volcanoes National Park,15-001-0005,1220
19.509778,-155.913417,1,Hawaii,Hawaii,Kealakekua,15-001-1012,14639
19.509778,-155.913417,2,Hawaii,Hawaii,Kealakekua,15-001-1012,7278
19.555444,-155.102028,1,Hawaii,Hawaii,Mountain View,15-001-2023,8037
19.569833,-155.08065,1,Hawaii,Hawaii,Kurtistown,15-001-2017,2217
19.717562,-155.11053,1,Hawaii,Hawaii,Hilo,15-001-1006,11498
19.717562,-155.11053,2,Hawaii,Hawaii,Hilo,15-001-1006,128
19.977467,-155.798067,1,Hawaii,Hawaii,Not in a city,15-001-2021,1880
20.780997,-156.446373,1,Hawaii,Maui,Kihei,15-009-0006,890
20.780997,-156.446373,2,Hawaii,Maui,Kihei,15-009-0006,8540
20.869627,-156.493626,1,Hawaii,Maui,Kahului,15-009-0025,4345
20.902031,-156.370344,1,Hawaii,Maui,Paia,15-009-0024,2816
21.303382,-157.871171,1,Hawaii,Honolulu,Honolulu,15-003-1004,522
21.303382,-157.871171,2,Hawaii,Honolulu,Honolulu,15-003-1004,8713
21.30758,-157.85542,1,Hawaii,Honolulu,Honolulu,15-003-1001,2240
21.30758,-157.85542,3,Hawaii,Honolulu,Honolulu,15-003-1001,8540
21.323745,-158.088613,1,Hawaii,Honolulu,Not in a city,15-003-0010,9358
21.323745,-158.088613,2,Hawaii,Honolulu,Not in a city,15-003-0010,648
21.392833,-157.969126,1,Hawaii,Honolulu,Pearl City,15-003-2004,2235
21.392833,-157.969126,4,Hawaii,Honolulu,Pearl City,15-003-2004,8910
21.392833,-157.969126,6,Hawaii,Honolulu,Pearl City,15-003-2004,30
