"SITE_ID","SITE_NUM","SITE_NAME","ACTIVE","INACTIVE","AGENCY","STATE","COUNTY","TIME_ZONE","LATITUDE","LONGITUDE","ELEVATION","MAPID","LAND_USE","TERRAIN","MLM","NADP_ID","NADP_DISTANCE","UPDATE_DATE"
"JOT403","403.0","Joshua Tree NP","dom","","NPS","CA","San Bernardino","PA","34.069569","-116.388933","1244.0","","Desert","Complex","No","CA67","0.008","01/30/2020 13:25:29"
"LYK123","123.0","Lykens","","domwp","EPA","OH","Crawford","EA","40.916981","-82.998206","303.0","Chatfield, OH","Agric","Flat","Mixed","OH17","62.615","01/30/2020 13:25:29"
"WFM105","105.0","Whiteface Mountain","dm","o","EPA","NY","Essex","EA","44.39","-73.86","570.0","Wilmington, NY","Forest","Complex","No","NY98","0.37","01/30/2020 13:25:29"
"HOW191","191.0","Howland Ameriflux","","dom","EPA","ME","Penobscot","EA","45.203963","-68.740041","68.0","","Forest","Rolling","No","ME09","79.091","01/30/2020 13:25:29"
"NIC001","1.0","Nicks Lake","dm","","EPA","NY","Herkimer","EA","43.6805","-74.9891","525.0","","Forest","Rolling","No","NY94","0.562","01/30/2020 13:25:29"
"UND002","2.0","Underhill","dm","","EPA","VT","Chittenden","EA","44.5283","-72.8688","399.0","","Forest","Complex","No","VT99","0.032","01/30/2020 13:25:29"
"BVL130","130.0","Bondville","domt","","EPA","IL","Champaign","CE","40.051981","-88.372495","213.0","Bondville, IL","Agric","Flat","Yes","IL11","0.104","01/30/2020 13:25:29"
"HWF187","187.0","Huntington Wildlife Forest","domt","","EPA","NY","Essex","EA","43.973044","-74.223317","497.0","Newcomb","Forest","Complex","No","NY20","0.018","01/30/2020 13:25:29"
"YOS204","204.0","Yosemite NP Collocated","","o","NPS","CA","Mariposa","PA","37.7133","-119.7061","1605.0","","Forest","Complex","No","CA99","16.244","01/30/2020 13:25:29"
"GLR468","468.0","Glacier NP","dom","","NPS","MT","Flathead","MO","48.510301","-113.996807","976.0","Lake McDonald West, MT","Forest","Complex","No","MT05","0.018","01/30/2020 13:25:29"
"GRB411","411.0","Great Basin NP","dom","","NPS","NV","White Pine","PA","39.005121","-114.215932","2060.0","","Forest","Complex","No","NV05","0.098","01/30/2020 13:25:29"
"GRC474","474.0","Grand Canyon NP","dom","","NPS","AZ","Coconino","MOno","36.058642","-112.183575","2073.0","Grand Canyon","Forest","Rolling","Mixed","AZ03","0.039","01/30/2020 13:25:29"
"GRS420","420.0","Great Smoky NP - Look Rock","domt","","NPS","TN","Blount","EA","35.633482","-83.941606","793.0","","Forest","Complex","No","TN11","32.0","01/30/2020 13:25:29"
"GTH161","161.0","Gothic","domp","w","EPA","CO","Gunnison","MO","38.95627","-106.98587","2915.0","Gothic, CO","Range","Complex","No","CO10","0.022","01/30/2020 13:25:29"
"HBR183","183.0","Hubbard Brook Special","","d","EPA","NH","Grafton","EA","43.95","-71.7","322.0","","Forest","Complex","No","NH02","0.78","01/30/2020 13:25:29"
"HOW132","132.0","Howland","","dom","EPA","ME","Penobscot","EA","45.215607","-68.70851","66.0","Howland, ME","Forest","Rolling","Yes","ME09","80.859","01/30/2020 13:25:29"
"HOX148","148.0","Hoxeyville","dom","","EPA","MI","Wexford","EA","44.18089","-85.73898","297.0","Wellston, MI","Forest","Flat","Yes","MI53","7.979","01/30/2020 13:25:29"
"IRL141","141.0","Indian River Lagoon","dom","","EPA","FL","Indian River","EA","27.849215","-80.455595","2.0","","Coastal/Marsh","Flat/Water","Yes","FL41","187.731","01/30/2020 13:25:29"
"ACA416","416.0","Acadia NP","dom","","NPS","ME","Hancock","EA","44.377086","-68.2608","158.0","","Forest","Rolling","Mixed","ME98","0.013","01/30/2020 13:25:29"
"SAN189","189.0","Santee Sioux Nation, Nebraska","dom","","EPA","NE","Knox","CE","42.829154","-97.854128","434.0","","Range","Rolling","Yes","SD99","173.171","01/30/2020 13:25:29"
"BEL116","116.0","Beltsville","dom","t","EPA","MD","Prince George's","EA","39.028177","-76.817127","47.0","Laurel, MD","Range","Flat","Mixed","MD99","0.02","01/30/2020 13:25:29"
"BEL216","216.0","Beltsville Collocated","","r","EPA","MD","Prince George's","EA","39.028177","-76.817127","47.0","Laurel, MD","Range","Flat","Mixed","MD99","0.02","01/30/2020 13:25:29"
"CAN407","407.0","Canyonlands NP","dom","","NPS","UT","San Juan","MO","38.458323","-109.82126","1809.0","","Desert","Complex","Mixed","UT09","0.024","01/30/2020 13:25:29"
"CAT175","175.0","Claryville","dm","o","EPA","NY","Ulster","EA","41.942325","-74.551999","754.0","","Forest","Complex","No","NY68","6.99","01/30/2020 13:25:29"
"EVE419","419.0","Everglades NP","dm","o","NPS","FL","Miami-Dade","EA","25.391223","-80.680819","2.0","","Forest/Marsh","Flat","Yes","FL11","0.159","01/30/2020 13:25:29"
"KVA428","428.0","Kobuk Valley NP","","dm","NPS","AK","","AL","67.0931","-157.8689","88.0","","","","","AK96","386.969","01/30/2020 13:25:29"
"LYE145","145.0","Lye Brook","","domw","EPA","VT","Bennington","EA","43.050884","-73.061334","725.0","Sunderland, VT","Forest","Mountaintop","No","VT01","21.124","01/30/2020 13:25:29"
"MOR409","409.0","Mount Rainier NP","","dom","NPS","WA","Pierce","PA","46.75838","-122.12429","415.0","","Forest","Complex","No","WA99","0.02","01/30/2020 13:25:29"
"PET427","427.0","Petrified Forest","dom","","NPS","AZ","Navajo","MOno","34.822508","-109.892485","1723.0","","Desert","Flat","No","AZ97","0.012","01/30/2020 13:25:29"
"RTP101","101.0","Res. Triangle Pk.","","domr","EPA","NC","Durham","EA","35.91","-78.88","91.0","","Urban","Rolling","No","NC41","27.023","01/30/2020 13:25:29"
"WNC429","429.0","Wind Cave NP","dom","","NPS","SD","Custer","MO","43.557639","-103.483856","1292.0","","Prairie","Rolling","Mixed","SD04","0.013","01/30/2020 13:25:29"
"KEF112","112.0","Kane Exp. Forest","dom","","EPA","PA","Elk","EA","41.598119","-78.767866","618.0","James City, PA","Forest","Rolling","Yes","PA29","0.047","01/30/2020 13:25:29"
"KNZ184","184.0","Konza Prairie","dm","o","EPA","KS","Riley","CE","39.10216","-96.609583","346.0","","Prairie","Flat","Yes","KS31","0.033","01/30/2020 13:25:29"
"LAV410","410.0","Lassen Volcanic NP","dom","","NPS","CA","Shasta","PA","40.539991","-121.576462","1756.0","","Forest","Complex","No","CA96","0.127","01/30/2020 13:25:29"
"LCW121","121.0","Lilley C. Woods","","dom","EPA","KY","Letcher","EA","37.13","-82.99","335.0","Roxana, KY","Agric","Rolling","Mixed","KY22","5.802","01/30/2020 13:25:29"
"LRL117","117.0","Laurel Hill","dom","","EPA","PA","Somerset","EA","39.988309","-79.251573","609.0","Rockwood, PA","Forest","Complex","No","MD08","37.511","01/30/2020 13:25:29"
"MCK131","131.0","Mackville","dom","","EPA","KY","Washington","EA","37.704678","-85.048706","293.0","Mackville, KY","Agric","Rolling","Mixed","KY03","0.017","01/30/2020 13:25:29"
"MCK231","231.0","Mackville Collocated","dom","","EPA","KY","Washington","EA","37.704678","-85.048706","293.0","Mackville, KY","Agric","Rolling","Mixed","KY03","0.017","01/30/2020 13:25:29"
"MEV405","405.0","Mesa Verde NP","dom","","NPS","CO","Montezuma","MO","37.198398","-108.490462","2165.0","","Forest","Complex","No","CO99","0.073","01/30/2020 13:25:29"
"MKG113","113.0","M.K. Goddard","dom","","EPA","PA","Mercer","EA","41.426847","-80.145247","377.0","Hadley, PA","Forest","Rolling","No","PA30","81.008","01/30/2020 13:25:29"
"MAC426","426.0","Mammoth Cave NP","domt","","NPS","KY","Edmonson","EA","37.131794","-86.142953","243.0","","Agric","Rolling","Mixed","KY10","0.449","01/30/2020 13:25:29"
"NCS415","415.0","North Cascades NP","","dom","NPS","WA","Skagit","PA","48.54051","-121.445652","109.0","","Forest","Complex","No","WA19","0.035","01/30/2020 13:25:29"
"EGB281","281.0","Egbert Collocated","","d","EPA","ON","","EA","44.231071","-79.783115","227.0","","Agric","Rolling","Yes","NY92","159.95","01/30/2020 13:25:29"
"ANL146","146.0","Argonne NL","","dom","EPA","IL","DuPage","CE","41.7","-87.99","229.0","Sag Bridge, IL","Urban/Agric","Rolling","Mixed","IN34","75.493","01/30/2020 13:25:29"
"ARE128","128.0","Arendtsville","domp","w","EPA","PA","Adams","EA","39.923241","-77.307863","266.0","Arendtsville, PA","Agric","Rolling","Mixed","PA00","0.017","01/30/2020 13:25:29"
"ARE228","228.0","Arendtsville Collocated","","domw","EPA","PA","Adams","EA","39.923241","-77.307863","266.0","Arendtsville, PA","Forest","Rolling","Mixed","PA00","0.017","01/30/2020 13:25:29"
"ASH135","135.0","Ashland","dom","","EPA","ME","Aroostook","EA","46.603832","-68.413227","231.0","Squa Pan, ME","Agric","Flat","Yes","ME00","42.343","01/30/2020 13:25:29"
"ASH235","235.0","Ashland Collocated","","dom","EPA","ME","Aroostook","EA","46.603832","-68.413227","231.0","Squa Pan, ME","Agric","Flat","Yes","ME00","42.343","01/30/2020 13:25:29"
"BBE401","401.0","Big Bend NP","dom","","NPS","TX","Brewster","CE","29.302651","-103.177813","1052.0","","Forest","Complex","Mixed","TX04","0.033","01/30/2020 13:25:29"
"BFT142","142.0","Beaufort","domp","w","EPA","NC","Carteret","EA","34.884668","-76.620666","5.0","","Agric","Flat","Yes","NC06","0.008","01/30/2020 13:25:29"
"BWR139","139.0","Blackwater NWR","dom","","EPA","MD","Dorchester","EA","38.444971","-76.111274","1.0","","Forest/Marsh","Coastal","Mixed","MD15","50.673","01/30/2020 13:25:29"
"CAD150","150.0","Caddo Valley","dom","","EPA","AR","Clark","CE","34.179278","-93.098755","78.0","Caddo Valley, AR","Forest","Complex","No","AR03","0.048","01/30/2020 13:25:29"
"CDR119","119.0","Cedar Creek","domp","w","EPA","WV","Gilmer","EA","38.879503","-80.847677","240.0","Glenville, WV","Forest","Complex","No","WV05","0.013","01/30/2020 13:25:29"
"CDZ171","171.0","Cadiz","dom","","EPA","KY","Trigg","CE","36.784053","-87.85015","190.0","7.5 min. Topo Cadiz, KY","Agric","Rolling","Yes","KY99","19.56","01/30/2020 13:25:29"
"CHA267","267.0","Chiricahua NM Collocated","","dom","EPA","AZ","Cochise","MOno","32.009405","-109.389058","1569.0","","Range","Complex","No","AZ98","0.036","01/30/2020 13:25:29"
"CHA467","467.0","Chiricahua NM","domp","w","NPS","AZ","Cochise","MOno","32.009405","-109.389058","1570.0","Bowie Mountain South, AZ","Range","Complex","No","AZ98","0.036","01/30/2020 13:25:29"
"CHE185","185.0","Cherokee Nation","dom","","EPA","OK","Adair","CE","35.750786","-94.669789","305.0","","Agric","Rolling","Yes","AR27","59.29","01/30/2020 13:25:29"
"CKT136","136.0","Crockett","dom","","EPA","KY","Morgan","EA","37.92146","-83.066295","376.0","Dingus, KY","Agric","Rolling","Mixed","KY35","47.522","01/30/2020 13:25:29"
"CND125","125.0","Candor","dom","w","EPA","NC","Montgomery","EA","35.26333","-79.83754","172.0","Biscoe, NC","Forest","Rolling","Mixed","NC36","43.025","01/30/2020 13:25:29"
"CNT169","169.0","Centennial","dom","","EPA","WY","Albany","MO","41.364531","-106.24002","3175.0","Centennial, WY","Forest","Complex","Mixed","WY95","0.068","01/30/2020 13:25:29"
"COW137","137.0","Coweeta","dom","","EPA","NC","Macon","EA","35.060527","-83.43034","683.0","Prentiss, NC","Forest","Complex","No","NC25","0.015","01/30/2020 13:25:29"
"COW182","182.0","Coweeta Special","","d","EPA","NC","Macon","EA","35.060527","-83.43034","683.0","","Forest","Complex","No","NC25","0.015","01/30/2020 13:25:29"
"CTH110","110.0","Connecticut Hill","dom","w","EPA","NY","Tompkins","EA","42.400875","-76.653516","511.0","Mecklenberg, NY","Forest","Rolling","No","NY67","0.447","01/30/2020 13:25:29"
"CVL151","151.0","Coffeeville","dom","","EPA","MS","Yalobusha","CE","34.002747","-89.799183","138.0","Coker Lake, MS","Forest","Rolling","Mixed","MS30","0.029","01/30/2020 13:25:29"
"DCP114","114.0","Deer Creek","domp","w","EPA","OH","Fayette","EA","39.635888","-83.260563","264.0","Mount Sterling, OH","Agric","Rolling","Yes","OH54","0.003","01/30/2020 13:25:29"
"DCP214","214.0","Deer Creek Collocated","","dom","EPA","OH","Fayette","EA","39.635888","-83.260563","264.0","","Agric","Rolling","Yes","OH54","0.003","01/30/2020 13:25:29"
"DEN417","417.0","Denali NP","dom","","NPS","AK","Denali","AL","63.7232","-148.9676","661.0","","Forest","Complex","No","AK03","0.0","01/30/2020 13:25:29"
"EGB181","181.0","Egbert","dm","","EPA","ON","","EA","44.231071","-79.783115","227.0","","Agric","Rolling","Yes","NY92","159.95","01/30/2020 13:25:29"
"ESP127","127.0","Edgar Evins","dom","","EPA","TN","DeKalb","CE","36.03893","-85.73305","302.0","Silver Point, TN","Forest","Rolling","No","KY10","126.823","01/30/2020 13:25:29"
"GAS153","153.0","Georgia Station","dom","","EPA","GA","Pike","EA","33.181173","-84.410054","265.0","Hollonville, GA","Agric","Rolling","Mixed","GA41","0.078","01/30/2020 13:25:29"
"GAS253","253.0","Georgia Station Collocated","","dom","EPA","GA","Pike","EA","33.181173","-84.410054","265.0","","Agric","Rolling","Mixed","GA41","0.078","01/30/2020 13:25:29"
"CON186","186.0","Converse Station","","dom","EPA","CA","San Bernardino","PA","34.194048","-116.912977","1718.0","Big Bear Lake","Forest/Arid","Complex","No","CA94","0.03","01/30/2020 13:25:29"
"ALC188","188.0","Alabama-Coushatta Tribe of Texas","dom","","EPA","TX","Polk","CE","30.701577","-94.674011","105.0","","Prairie","Rolling","Yes","TX10","191.334","01/30/2020 13:25:29"
"PAL190","190.0","Palo Duro","dom","","EPA","TX","Randall","CE","34.88061","-101.664703","1053.0","","Prairie","Complex","Mixed","TX43","0.073","01/30/2020 13:25:29"
"FOR605","605.0","Fortification Creek","dm","","BLM","WY","Campbell","MO","44.3395","-105.9198","1408.0","","Prairie","Rolling","Mixed","WY99","147.744","01/30/2020 13:25:29"
"NEC602","602.0","Newcastle","dom","","BLM","WY","Weston","MO","43.873","-104.1919","1468.0","","Prairie","Rolling","Mixed","WY99","0.016","01/30/2020 13:25:29"
"BAS601","601.0","Basin","dom","","BLM","WY","Big Horn","MO","44.28","-108.0411","1242.0","","Prairie","Rolling","Mixed","MT00","151.068","01/30/2020 13:25:29"
"BUF603","603.0","Buffalo","dm","","BLM","WY","Johnson","MO","44.1442","-106.1089","1324.0","","Prairie","Rolling","Mixed","WY99","156.67","01/30/2020 13:25:29"
"SHE604","604.0","Sheridan","dm","","BLM","WY","Sheridan","MO","44.93","-106.85","1115.0","","Prairie","Rolling","Mixed","MT00","84.802","01/30/2020 13:25:29"
"RED004","4.0","Red Lake Band of Chippewa Indians, Minnesota","dm","","EPA","MN","Beltrami","CE","47.8638","-94.8352","372.0","","Forest","Flat","Yes","MN16","109.042","01/30/2020 13:25:29"
"DIN431","431.0","Dinosaur NM","dom","","NPS","UT","Uintah","MO","40.4373","-109.3046","1463.0","","Desert","Complex","No","UT95","37.794","01/30/2020 13:25:29"
"COW005","5.0","Coweeta Screwdriver Knob","","dm","EPA","NC","Macon","EA","35.04826","-83.45428","960.0","","Forest","Complex","No","NC25","2.559","01/30/2020 13:25:29"
"WFM007","7.0","Whiteface Mountain Summit","","dm","EPA","NY","Essex","EA","44.39","-73.86","1415.0","Wilmington, NY","Forest","Complex","No","NY98","0.37","01/30/2020 13:25:29"
"NPT006","6.0","Nez Perce Tribe","dom","","EPA","ID","Idaho","PA","46.2756","-116.0216","945.0","","Forest","Rolling","Mixed","WA24","104.271","01/30/2020 13:25:29"
"DUK008","8.0","Duke Forest","domt","","EPA","NC","Orange","EA","35.9745","-79.099","164.0","","Forest","Rolling","No","NC41","46.63","01/30/2020 13:25:29"
"CHC432","432.0","Chaco Culture NHP","omt","","NPS","NM","San Juan","MO","36.035","-107.9042","1965.0","","Desert","Complex","No","CO99","139.315","01/30/2020 13:25:29"
