"TABLE_NAME","COLUMN_ID","COLUMN_NAME","UNIT","DATA_TYPE","DATA_LENGTH","PRIMARY_KEY","DESCRIPTION"
"SITE","1.0","SITE_ID","","CHAR","6","1.0","Site identification code"
"SITE","2.0","SITE_NUM","","NUMBER","38,0","","Numeric unique site identification"
"SITE","3.0","SITE_NAME","","CHAR","75","","Site name"
"SITE","4.0","ACTIVE","","CHAR","10","","Sampling operations currently being conducted at site; site is inactive if NULL."
"SITE","5.0","INACTIVE","","CHAR","10","","Sampling operations that have previously been conducted at the site but are not currently being performed"
"SITE","6.0","AGENCY","","CHAR","10","","Operating agency"
"SITE","7.0","STATE","","CHAR","2","","State abbreviation"
"SITE","8.0","COUNTY","","CHAR","25","","County"
"SITE","9.0","TIME_ZONE","","CHAR","15","","Local time zone of site"
"SITE","10.0","LATITUDE","decimal degrees","NUMBER","14,6","","Latitude; decimal degrees"
"SITE","11.0","LONGITUDE","decimal degrees","NUMBER","14,6","","Longitude; decimal degrees"
"SITE","12.0","ELEVATION","m","NUMBER","20,5","","Elevation; m"
"SITE","13.0","MAPID","","CHAR","30","","USGS 7-1/2 min. map name."
"SITE","14.0","LAND_USE","","CHAR","15","","Primary land use"
"SITE","15.0","TERRAIN","","CHAR","15","","Terrain surrounding site"
"SITE","16.0","MLM","","CHAR","5","","Does site conform to assumptions of MLM?"
"SITE","17.0","NADP_ID","","CHAR","4","","NADP site code"
"SITE","18.0","NADP_DISTANCE","km","NUMBER","12,4","","Distance to nearest NADP site; km"
"SITE","19.0","UPDATE_DATE","","DATE","19","","Date and time of last record update"
