"TABLE_NAME","SITE"
"COMMENTS","Geographic location and operating information for sites. Latitude, longitude, and elevation were verified and updated, where necessary, February 26th 2014.
<a href=""http://www.epa.gov/castnet/data-use-and-citation"">Recommended Citation</a> "
"LAST_UPDATE","2022-04-21"
"RECORD_COUNT","0"
"
"
"
"
"Data Codes Contained in File:"
"
"
"COLUMN_NAME","CODE","DESCRIPTION","VALID"
"ACTIVE","a","Aerosol component of site is active",""
"ACTIVE","d","Dry component of site is active",""
"ACTIVE","i","Aerosol component of site was transferred to IMPROVE and is currently active",""
"ACTIVE","m","Meteorological component of site is active",""
"ACTIVE","n","Nephelometer is active at site",""
"ACTIVE","o","Ozone component of site is active",""
"ACTIVE","p","Precipitation chemistry component of site was transferred to NADP and is currently active",""
"ACTIVE","w","Precipitation chemistry component of site is active",""
"AGENCY","BLM","Bureau of Land Management",""
"AGENCY","EPA","US Environmental Protection Agency",""
"AGENCY","NPS","National Park Service",""
"INACTIVE","a","Aerosol component of site is inactive",""
"INACTIVE","d","Dry component of site is inactive",""
"INACTIVE","i","Aerosol component of site was transferred to IMPROVE but is currently inactive",""
"INACTIVE","m","Meteorological component of site is inactive",""
"INACTIVE","n","Nephelometer is inactive at site",""
"INACTIVE","o","Ozone component of site is inactive",""
"INACTIVE","p","Precipitation chemistry component of site was transferred to NADP but is currently inactive",""
"INACTIVE","w","Precipitation chemistry component of site is inactive",""
"MLM","Mixed","Many but not all assumptions of the MLM apply",""
"MLM","No","Few assumptions of the MLM apply",""
"MLM","Yes","Most or all assumptions of the MLM apply",""
"SITE_NUM","100","EPA-sponsored site",""
"SITE_NUM","200","Collocated site",""
"SITE_NUM","400","NPS-sponsored site",""
"SITE_NUM","500","EPA-sponsored site collecting aerosol samples",""
"TIME_ZONE","AL","Alaska time zone, with Daylight Savings Time",""
"TIME_ZONE","AT","Atlantic time zone, with Daylight Savings Time",""
"TIME_ZONE","CE","Central time zone, with Daylight Savings Time",""
"TIME_ZONE","EA","Eastern time zone, with Daylight Savings Time",""
"TIME_ZONE","EAno","Eastern time zone, no Daylight Savings Time",""
"TIME_ZONE","HAno","Hawaiian Aleutian time zone, no Daylight Savings Time",""
"TIME_ZONE","MO","Mountain time zone, with Daylight Savings Time",""
"TIME_ZONE","MOno","Mountain time zone, no Daylight Savings Time",""
"TIME_ZONE","PA","Pacific time zone, with Daylight Savings Time",""
