"TABLE_NAME","COLUMN_ID","COLUMN_NAME","UNIT","DATA_TYPE","DATA_LENGTH","PRIMARY_KEY","DESCRIPTION"
"DRYCHEM","2.0","SITE_ID","","CHAR","6","","Site identification code"
"DRYCHEM","3.0","TYPE","","CHAR","1","","Sample type code. Note, day samples (D) collected from 0800-1900 LST and night samples (N) collected from 2000-0700 LST. "
"DRYCHEM","4.0","DATEON","","DATE","19","","Date and time sample collection began, Local Standard Time; mm/dd/yyyy hh:mm:ss."
"DRYCHEM","5.0","DATEOFF","","DATE","19","","Date and time sample collection ended, Local Standard Time; mm/dd/yyyy hh:mm:ss."
"DRYCHEM","6.0","TSO4","ug/m^3","NUMBER","16,4","","Sulfate (SO4) concentration from Teflon filter; ug/m^3."
"DRYCHEM","8.0","TNO3","ug/m^3","NUMBER","16,4","","Nitrate (NO3) concentration from Teflon filter; ug/m^3."
"DRYCHEM","10.0","TNH4","ug/m^3","NUMBER","16,4","","Ammonium (NH4) concentration from Teflon filter; ug/m^3."
"DRYCHEM","12.0","CA","ug/m^3","NUMBER","16,4","","Calcium (Ca) concentration from Teflon filter; ug/m^3."
"DRYCHEM","14.0","MG","ug/m^3","NUMBER","16,4","","Magnesium (Mg) concentration from Teflon filter; ug/m^3."
"DRYCHEM","16.0","NA","ug/m^3","NUMBER","16,4","","Sodium (Na) concentration from Teflon filter; ug/m^3."
"DRYCHEM","18.0","K","ug/m^3","NUMBER","16,4","","Potassium (K) concentration from Teflon filter; ug/m^3."
"DRYCHEM","20.0","CL","ug/m^3","NUMBER","16,4","","Chloride (Cl) concentration from Teflon filter; ug/m^3."
"DRYCHEM","22.0","NSO4","ug/m^3","NUMBER","16,4","","Sulfate (SO4) concentration from Nylon filter; ug/m^3."
"DRYCHEM","24.0","NHNO3","ug/m^3","NUMBER","16,4","","Nitric acid (NO3) concentration from Nylon filter; ug/m^3."
"DRYCHEM","26.0","WSO2","ug/m^3","NUMBER","16,4","","Sulfur dioxide (SO2) concentration from Whatman filter; ug/m^3."
"DRYCHEM","28.0","WNO3","ug/m^3","NUMBER","16,4","","Nitrate (NO3) concentration from Whatman filter; ug/m^3."
"DRYCHEM","30.0","TOTAL_SO2","ug/m^3","NUMBER","16,4","","Total sulfur dioxide (SO2) concentration calculated from [wso2]+0.667*nso4]; ug/m^3."
"DRYCHEM","31.0","TOTAL_NO3","ug/m^3","NUMBER","16,4","","Total nitrate (NO3) concentration calculated from [tno3]+0.9841*[nhno3]; ug/m^3."
"DRYCHEM","32.0","FLOW_VOLUME","m^3","NUMBER","16,4","","Flow volume; m^3."
"DRYCHEM","34.0","VALID_HOURS","","NUMBER","16,4","","Valid hours during sampling period"
"DRYCHEM","36.0","COMMENT_CODES","","CHAR","50","","Comment codes separated by spaces"
"DRYCHEM","37.0","STD2LOCAL_CF","","NUMBER","12,8","","Factor used to convert atmospheric concentrations from standard to local conditions"
"DRYCHEM","38.0","TEMP_SOURCE","","CHAR","2","","Source of mean temperature used in conversion factor"
"DRYCHEM","39.0","QA_CODE","","CHAR","2","","Quality assurance level of the record. (see QAPP for definition of quality assurance levels)"
"DRYCHEM","40.0","UPDATE_DATE","","DATE","19","","Date and time of last record update"
