SITE_ID,SITE_NUM,SITE_NAME,LATITUDE,LONGITUDE,STATE,COUNTY,AGENCY,n
ABT147,147,Abington,41.84046,-72.010368,CT,Windham,EPA,1159
ACA416,416,Acadia NP,44.377086,-68.2608,ME,Hancock,NPS,1149
ALC188,188,Alabama-Coushatta Tribe of Texas,30.701577,-94.674011,TX,Polk,EPA,884
ALH157,157,Alhambra,38.869001,-89.622815,IL,Madison,EPA,1160
ANA115,115,Ann Arbor,42.416636,-83.90218,MI,Washtenaw,EPA,1121
ARE128,128,Arendtsville,39.923241,-77.307863,PA,Adams,EPA,1153
ASH135,135,Ashland,46.603832,-68.413227,ME,Aroostook,EPA,1159
ASH235,235,Ashland Collocated,46.603832,-68.413227,ME,Aroostook,EPA,82
BAS601,601,Basin,44.28,-108.0411,WY,Big Horn,BLM,472
BBE401,401,Big Bend NP,29.302651,-103.177813,TX,Brewster,NPS,1136
BEL116,116,Beltsville,39.028177,-76.817127,MD,Prince George's,EPA,1125
BFT142,142,Beaufort,34.884668,-76.620666,NC,Carteret,EPA,1123
BUF603,603,Buffalo,44.1442,-106.1089,WY,Johnson,BLM,481
BVL130,130,Bondville,40.051981,-88.372495,IL,Champaign,EPA,1154
BWR139,139,Blackwater NWR,38.444971,-76.111274,MD,Dorchester,EPA,1043
CAD150,150,Caddo Valley,34.179278,-93.098755,AR,Clark,EPA,1153
CAN407,407,Canyonlands NP,38.458323,-109.82126,UT,San Juan,NPS,1138
CAT175,175,Claryville,41.942325,-74.551999,NY,Ulster,EPA,1110
CDR119,119,Cedar Creek,38.879503,-80.847677,WV,Gilmer,EPA,1154
CDZ171,171,Cadiz,36.784053,-87.85015,KY,Trigg,EPA,1153
CHA467,467,Chiricahua NM,32.009405,-109.389058,AZ,Cochise,NPS,1152
CHE185,185,Cherokee Nation,35.750786,-94.669789,OK,Adair,EPA,1032
CKT136,136,Crockett,37.92146,-83.066295,KY,Morgan,EPA,1133
CND125,125,Candor,35.26333,-79.83754,NC,Montgomery,EPA,1150
CNT169,169,Centennial,41.364531,-106.24002,WY,Albany,EPA,1150
CON186,186,Converse Station,34.194048,-116.912977,CA,San Bernardino,EPA,391
COW005,5,Coweeta Screwdriver Knob,35.04826,-83.45428,NC,Macon,EPA,89
COW137,137,Coweeta,35.060527,-83.43034,NC,Macon,EPA,1152
CTH110,110,Connecticut Hill,42.400875,-76.653516,NY,Tompkins,EPA,1155
CVL151,151,Coffeeville,34.002747,-89.799183,MS,Yalobusha,EPA,1147
DCP114,114,Deer Creek,39.635888,-83.260563,OH,Fayette,EPA,1152
DEN417,417,Denali NP,63.7232,-148.9676,AK,Denali,NPS,1151
