Latitude,Longitude,SiteName,SiteCode,EPACode,n,State.Code,County.Code,Site.Num
18.3363,-64.7962,Virgin Islands NP,VIIS1,780209000,2470,78,020,9000
19.4309,-155.2579,Hawaii Volcanoes NP,HAVO1,150019002,2486,15,001,9002
19.5362,-155.5767,Mauna Loa Observatory #1,MALO1,150019000,1149,15,001,9000
19.5362,-155.5767,Mauna Loa Observatory #2,MALO2,150019001,1149,15,001,9001
19.5389,-155.578,Mauna Loa Observatory #3,MALO3,150019003,17,15,001,9003
19.5389,-155.578,Mauna Loa Observatory #4,MALO4,150019004,17,15,001,9004
20.7585,-156.2479,Haleakala Crater,HACR1,NA,1748,NA,NA,NA
20.8086,-156.2823,Haleakala NP,HALE1,150099000,1497,15,009,9000
25.391,-80.6806,Everglades NP,EVER1,120860030,4033,12,086,0030
28.7484,-82.5549,Chassahowitzka NWR,CHAS1,120179000,2597,12,017,9000
29.1189,-89.2066,Breton,BRET1,220759000,614,22,075,9000
29.3027,-103.178,Big Bend NP,BIBE1,480430101,3780,48,043,0101
29.6698,-95.1285,Houston Deer Park #2,HOUS1,482011039,366,48,201,1039
30.0926,-84.1614,St. Marks,SAMA1,121290001,4571,12,129,0001
30.10863,-89.76168,Breton Island,BRIS1,220759000,2280,22,075,9000
30.7405,-82.1283,Okefenokee NWR,OKEF1,130499000,2596,13,049,9000
31.33745,-110.93715,Nogales,NOGA1,NA,682,NA,NA,NA
31.34921,-109.53973,Douglas,DOUG1,040039000,1390,04,003,9000
31.833,-104.8094,Guadalupe Mountains NP,GUMO1,481099000,2597,48,109,9000
31.9506,-112.8016,Organ Pipe,ORPI1,040190005,2253,04,019,0005
32.0094,-109.389,Chiricahua NM,CHIR1,040038001,2597,04,003,8001
32.0574,-92.435,Sikes,SIKE1,221279000,1198,22,127,9000
32.1746,-110.7371,Saguaro NM,SAGU1,040190021,2517,04,019,0021
32.1783,-104.44376,Carlsbad Caverns,CAVE1,NA,468,NA,NA,NA
32.2486,-111.2178,Saguaro West,SAWE1,040199000,3508,04,019,9000
32.941,-79.6572,Cape Romain NWR,ROMA1,450190046,2596,45,019,0046
33.2204,-108.2351,Gila Wilderness,GICL1,350039000,2592,35,003,9000
33.2939,-111.2858,Queen Valley,QUVA1,040218001,1790,04,021,8001
33.4598,-104.4042,Salt Creek,SACR1,350059000,2564,35,005,9000
33.4636,-116.9706,Agua Tibia,AGTI1,060659000,2490,06,065,9000
33.4687,-105.5349,White Mountain,WHIT1,350279000,2374,35,027,9000
33.5038,-112.0958,Phoenix,PHOE1,040139997,2450,04,013,9997
33.5038,-112.0958,Phoenix Colocated Sampler,PHOE5,NA,1999,NA,NA,NA
33.5531,-86.8148,North Birmingham,BIRM1,010730023,2101,01,073,0023
33.6548,-111.1068,Tonto NM,TONT1,040070010,2596,04,007,0010
33.688,-84.2903,South Dekalb,ATLA1,130890002,1639,13,089,0002
33.8695,-106.852,Bosque del Apache,BOAP1,350539000,2565,35,053,9000
33.9996,-117.4161,Rubidoux,RUBI1,060658001,121,06,065,8001
34.0584,-109.4406,Mount Baldy,BALD1,040018001,2579,04,001,8001
34.06957,-116.38895,Joshua Tree NP,JOSH1,060719002,3792,06,071,9002
34.0908,-110.9421,Sierra Ancha,SIAN1,040078100,2160,04,007,8100
34.1939,-116.9132,San Gorgonio Wilderness,SAGO1,060719010,2596,06,071,9010
34.2969,-118.0282,San Gabriel,SAGA1,060379034,2443,06,037,9034
34.3405,-111.6832,Ike's Backbone,IKBA1,040258104,2571,04,025,8104
34.3433,-87.3388,Sipsey Wilderness,SIPS1,010799000,2596,01,079,9000
34.37892,-117.69211,Wrightwood,WRIG1,NA,371,NA,NA,NA
34.4289,-112.9628,Hillside,HILL1,040250005,502,04,025,0005
34.4544,-94.1429,Caney Creek,CACR1,051130003,2546,05,113,0003
34.7323,-98.713,Wichita Mountains,WIMO1,400319000,2466,40,031,9000
34.7339,-120.0074,San Rafael,RAFA1,060839000,2587,06,083,9000
34.7852,-84.6265,Cohutta,COHU1,132139000,2552,13,213,9000
35.0777,-109.7692,Petrified Forest NP,PEFO1,040170119,2597,04,017,0119
35.1406,-111.9692,Sycamore Canyon,SYCA1,040058103,1887,04,005,8103
35.1639,-111.9823,Sycamore Canyon,SYCA2,NA,683,NA,NA,NA
35.3937,-82.7744,Shining Rock Wilderness,SHRO1,370870035,2596,37,087,0035
35.451,-76.2075,Swanquarter,SWAN1,370959000,3878,37,095,9000
35.6334,-83.9417,Great Smoky Mountains NP (PM10 Speciation),GRSM9,NA,40,NA,NA,NA
35.6334,-83.9416,Great Smoky Mountains NP,GRSM1,470090101,2596,47,009,0101
35.7278,-118.1377,Dome Lands Wilderness,DOME1,060299001,2518,06,029,9001
35.75078,-94.66956,Stilwell,STIL1,400719010,1353,40,071,9010
35.7797,-106.2664,Bandelier NM,BAND1,350281002,2597,35,028,1002
35.8258,-93.203,Upper Buffalo Wilderness,UPBU1,051019000,2596,05,101,9000
35.9723,-81.9331,Linville Gorge,LIGO1,370110002,2570,37,011,0002
35.9731,-111.9841,Hance Camp at Grand Canyon NP,GRCA2,040058102,2594,04,005,8102
36.0139,-106.8447,San Pedro Parks,SAPE1,350399000,2532,35,039,9000
36.0193,-114.0684,Meadview,MEAD1,040159000,2228,04,015,9000
36.0778,-112.1288,Indian Gardens,INGA1,040058100,1596,04,005,8100
36.0853,-99.9354,Ellis,ELLI1,400450890,1660,40,045,0890
36.4833,-121.1568,Pinnacles NM,PINN1,060690003,2596,06,069,0003
36.4894,-118.8291,Sequoia NP,SEQU1,061071001,2597,06,107,1001
36.5089,-116.8478,Death Valley NP,DEVA1,060270101,1612,06,027,0101
36.5854,-105.452,Wheeler Peak,WHPE1,350559000,2532,35,055,9000
36.61,-97.49,Southern Great Plains,SOGP1,400539000,203,40,053,9000
36.6138,-92.9221,Hercules-Glades,HEGL1,292130003,3794,29,213,0003
36.7818,-119.7732,Fresno,FRES1,060190008,2039,06,019,0008
36.7842,-87.8501,Cadiz,CADI1,212219000,1196,21,221,9000
36.9562,-97.0313,Cherokee Nation,CHER1,400719010,930,40,071,9010
36.9717,-90.1432,Mingo,MING1,292070001,2552,29,207,0001
37.1318,-86.1479,Mammoth Cave NP,MACA1,210619000,4819,21,061,9000
37.1983,-113.1508,Zion Canyon,ZICA1,490530130,2253,49,053,0130
