"Date","Site.Code","POC","Site.Latitude","Site.Longitude","Mean.Temp","Min.Temp","Max.Temp","Atm.Press","Ag","As","Al","Ba","Br","Ca","Cr","Co","Cu","Cl","Cd","Ce","Cs","Fe","Hg","K","Mn","Mg","Na","Ni","P","Pb","Rb","S","Sb","Se","Si","Sn","Sr","Ti","V","Zn","Zr","NH4","Cl_ion","Na_ion","K_ion","nitrate","OC","EC","EC_unadjusted","sulfate","pixel.id","path","pixel.longitude","pixel.latitude","elevation","AOD","AOD_uncertainty","angstrom_exp_550_860","AOD_absorption","AOD_nonspherical","small_mode_AOD","medium_mode_AOD","large_mode_AOD","AOD_raw","AOD_uncertainty_raw","angstrom_exp_550_860_raw","AOD_absorption_raw","AOD_nonspherical_raw","small_mode_AOD_raw","medium_mode_AOD_raw","large_mode_AOD_raw","aerosol_retrieval_conf_index","cloud_screen_parameter","cloud_screen_parameter_neighbour_3x3","aerosol_retrieval_flag","column_ozone_climatology","ocean_surface_windspeed_climatology","ocean_surface_windspeed_retrieved","rayleigh_optical_depth","lowest_residual_mixture","aod_mix_01","aod_mix_02","aod_mix_03","aod_mix_04","aod_mix_05","aod_mix_06","aod_mix_07","aod_mix_08","aod_mix_09","aod_mix_10","aod_mix_11","aod_mix_12","aod_mix_13","aod_mix_14","aod_mix_15","aod_mix_16","aod_mix_17","aod_mix_18","aod_mix_19","aod_mix_20","aod_mix_21","aod_mix_22","aod_mix_23","aod_mix_24","aod_mix_25","aod_mix_26","aod_mix_27","aod_mix_28","aod_mix_29","aod_mix_30","aod_mix_31","aod_mix_32","aod_mix_33","aod_mix_34","aod_mix_35","aod_mix_36","aod_mix_37","aod_mix_38","aod_mix_39","aod_mix_40","aod_mix_41","aod_mix_42","aod_mix_43","aod_mix_44","aod_mix_45","aod_mix_46","aod_mix_47","aod_mix_48","aod_mix_49","aod_mix_50","aod_mix_51","aod_mix_52","aod_mix_53","aod_mix_54","aod_mix_55","aod_mix_56","aod_mix_57","aod_mix_58","aod_mix_59","aod_mix_60","aod_mix_61","aod_mix_62","aod_mix_63","aod_mix_64","aod_mix_65","aod_mix_66","aod_mix_67","aod_mix_68","aod_mix_69","aod_mix_70","aod_mix_71","aod_mix_72","aod_mix_73","aod_mix_74","min_chisq_01","min_chisq_02","min_chisq_03","min_chisq_04","min_chisq_05","min_chisq_06","min_chisq_07","min_chisq_08","min_chisq_09","min_chisq_10","min_chisq_11","min_chisq_12","min_chisq_13","min_chisq_14","min_chisq_15","min_chisq_16","min_chisq_17","min_chisq_18","min_chisq_19","min_chisq_20","min_chisq_21","min_chisq_22","min_chisq_23","min_chisq_24","min_chisq_25","min_chisq_26","min_chisq_27","min_chisq_28","min_chisq_29","min_chisq_30","min_chisq_31","min_chisq_32","min_chisq_33","min_chisq_34","min_chisq_35","min_chisq_36","min_chisq_37","min_chisq_38","min_chisq_39","min_chisq_40","min_chisq_41","min_chisq_42","min_chisq_43","min_chisq_44","min_chisq_45","min_chisq_46","min_chisq_47","min_chisq_48","min_chisq_49","min_chisq_50","min_chisq_51","min_chisq_52","min_chisq_53","min_chisq_54","min_chisq_55","min_chisq_56","min_chisq_57","min_chisq_58","min_chisq_59","min_chisq_60","min_chisq_61","min_chisq_62","min_chisq_63","min_chisq_64","min_chisq_65","min_chisq_66","min_chisq_67","min_chisq_68","min_chisq_69","min_chisq_70","min_chisq_71","min_chisq_72","min_chisq_73","min_chisq_74","flag_retrieve_01","flag_retrieve_02","flag_retrieve_03","flag_retrieve_04","flag_retrieve_05","flag_retrieve_06","flag_retrieve_07","flag_retrieve_08","flag_retrieve_09","flag_retrieve_10","flag_retrieve_11","flag_retrieve_12","flag_retrieve_13","flag_retrieve_14","flag_retrieve_15","flag_retrieve_16","flag_retrieve_17","flag_retrieve_18","flag_retrieve_19","flag_retrieve_20","flag_retrieve_21","flag_retrieve_22","flag_retrieve_23","flag_retrieve_24","flag_retrieve_25","flag_retrieve_26","flag_retrieve_27","flag_retrieve_28","flag_retrieve_29","flag_retrieve_30","flag_retrieve_31","flag_retrieve_32","flag_retrieve_33","flag_retrieve_34","flag_retrieve_35","flag_retrieve_36","flag_retrieve_37","flag_retrieve_38","flag_retrieve_39","flag_retrieve_40","flag_retrieve_41","flag_retrieve_42","flag_retrieve_43","flag_retrieve_44","flag_retrieve_45","flag_retrieve_46","flag_retrieve_47","flag_retrieve_48","flag_retrieve_49","flag_retrieve_50","flag_retrieve_51","flag_retrieve_52","flag_retrieve_53","flag_retrieve_54","flag_retrieve_55","flag_retrieve_56","flag_retrieve_57","flag_retrieve_58","flag_retrieve_59","flag_retrieve_60","flag_retrieve_61","flag_retrieve_62","flag_retrieve_63","flag_retrieve_64","flag_retrieve_65","flag_retrieve_66","flag_retrieve_67","flag_retrieve_68","flag_retrieve_69","flag_retrieve_70","flag_retrieve_71","flag_retrieve_72","flag_retrieve_73","flag_retrieve_74"
2000-03-10,"CSN_06-067-0006",5,38.613779,-121.368014,10.7,3.9,16.5,767,0.01,0.0026,0,0.045,0.001,0.0349,0,0,0.001,0.014,0.008,0.039,0.016,0.0508,0.001,0.0779,0.0033,0.007,0.337,0,0,0.0064,0,0.334,0.003,0,0.0387,0.013,0,0.0048,0,0.0041,0,0.151,NA,0.3,0.093,1.501,NA,NA,NA,0.97,"P045_006701","P045",-121.365684509277,38.6252059936523,23,0.0433493107557297,0.0246710795909166,1.60086596012115,0,0,0.0404994525015354,0.0028420640155673,7.79419406171655e-06,0.0433493107557297,0.0246710795909166,1.60086596012115,0,0,0.0404994525015354,0.0028420640155673,7.79419406171655e-06,NA,0.75,0.750097811222076,0,341,1.73686218261719,NA,0.0968045890331268,11,0.040283203125,0.0401611328125,0.0400390625,0.032958984375,0.038818359375,0.064453125,0.06396484375,0.0518798828125,0.06787109375,NA,0.032958984375,0.0401611328125,0.0400390625,0.0399169921875,0.039794921875,0.0465087890625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0400390625,0.0400390625,0.040283203125,0.0467529296875,0.04736328125,NA,NA,NA,NA,NA,0.0380859375,0.0379638671875,NA,NA,NA,NA,NA,NA,NA,NA,0.02691650390625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9375,4.953125,4.953125,4.984375,5,5.0625,5.078125,5.078125,5.15625,NA,5.234375,5.265625,5.25,5.25,5.234375,5.265625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,5.25,5.25,5.265625,5.265625,NA,NA,NA,NA,NA,5.234375,5.234375,NA,NA,NA,NA,NA,NA,NA,NA,5.203125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-03-28,"CSN_06-019-0008",5,36.781333,-119.77319,12.5,8.3,18.1,751,0.012,0.001,0.014,0.056,0.0051,0.0429,0.001,0,0.003,0.002,0.003,0.021,0.01,0.0787,0,0.0618,0.0045,0,0.139,0.0039,0,0.006,0,0.632,0.001,0.001,0.0958,0.021,0.001,0.0047,0,0.004,0,0.958,NA,0.278,0.09,3.409,NA,NA,NA,1.711,"P043_009097","P043",-119.768997192383,36.7945556640625,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,324,0.758535444736481,NA,0.0955707654356956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-03-28,"CSN_06-085-0004",5,37.339666,-121.888575,12.1,7.8,18.3,760,0.002,0.002,0,0.052,0.001,0.0529,0,0,0.001,0.506,0,0,0,0.0406,0.001,0.043,0,0.021,0.676,0.001,0,0.001,0,0.2604,0,0.001,0.042,0.005,0.001,0.003,0,0.0026,0.001,0.057,NA,0.732,0,1.11,NA,NA,NA,0.72,"P043_008228","P043",-121.879608154297,37.326114654541,1,NA,NA,NA,NA,NA,NA,NA,NA,1.02261555194855,0.132511332631111,0.759503722190857,0.0825192034244537,0,0.394254207611084,0.046934362500906,0.581442058086395,NA,0.25,0.319735825061798,2,340,1.73686218261719,NA,0.0970574915409088,48,0.078369140625,0.078125,0.077880859375,0.07763671875,0.10302734375,0.1025390625,0.12744140625,0.15234375,0.17724609375,0.2265625,0.2314453125,0.23095703125,0.2568359375,0.255859375,0.2802734375,0.279296875,0.3037109375,0.328125,0.3271484375,0.3515625,0.20263671875,0.2021484375,0.2275390625,0.22705078125,0.251953125,0.251953125,0.2763671875,0.3017578125,0.30078125,0.3251953125,0.642578125,0.640625,0.666015625,0.689453125,0.662109375,0.634765625,0.607421875,0.5546875,0.50390625,0.4521484375,0.76953125,0.8203125,0.84375,0.943359375,1.0703125,1.140625,1.11328125,1.0078125,0.779296875,0.6015625,0.2548828125,0.3037109375,0.3505859375,0.2783203125,0.302734375,0.3251953125,0.2763671875,0.275390625,0.2998046875,0.25,0.24951171875,0.2490234375,0.328125,0.4287109375,0.50390625,0.53125,0.3251953125,0.4013671875,0.451171875,0.4765625,0.298828125,0.373046875,0.423828125,0.423828125,25.5,25.75,25.9375,26.375,24.5625,25.125,23.75,22.6875,21.9375,20.0625,20.8125,20.8125,19.625,19.6875,18.5625,18.75,17.75,16.8125,17.0625,16.375,24.75,24.625,23.4375,23.25,22,21.875,20.625,19.4375,19.3125,18.1875,11.53125,11.25,10.53125,9.5625,9.59375,9.75,10,11,12.21875,13.625,14.375,13.3125,12.5625,10.5,8.28125,6.546875,5.6875,5.65625,7.75,10.46875,20.125,18.0625,16.5625,19.5,18.5625,17.9375,20.0625,20.1875,19.3125,21.6875,21.8125,21.875,18,14.5,12.375,11.875,18.75,16.25,14.90625,14.46875,20.4375,18.0625,16.8125,17.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-04-06,"CSN_06-019-0008",5,36.781333,-119.77319,19,10.5,27.9,752,0.007,0.0034,0.092,0.1,0.0032,0.1347,0.002,0,0.001,0,0,0.016,0.032,0.1647,0.001,0.1142,0.003,0.001,0,0.0149,0,0.0068,0,0.7488,0.011,0.002,0.378,0.024,0.001,0.0135,0,0.008,0.002,1.192,NA,0.265,0.103,3.883,NA,NA,NA,2.097,"P042_005986","P042",-119.764854431152,36.7936668395996,131,0.113156348466873,0.0526463314890862,0.963078260421753,0,0,0.0351328402757645,0.00316765648312867,0.0748577937483788,0.113156348466873,0.0526463314890862,0.963078260421753,0,0,0.0351328402757645,0.00316765648312867,0.0748577937483788,NA,1,0.965277791023254,0,337,1.44422173500061,NA,0.0955707654356956,9,0.065185546875,0.065185546875,0.06494140625,0.0452880859375,0.0504150390625,0.05126953125,0.093505859375,0.076171875,0.101318359375,0.122802734375,0.07080078125,0.070556640625,0.070556640625,0.0703125,0.08935546875,0.0888671875,0.1083984375,0.113525390625,0.15478515625,0.17724609375,0.12646484375,0.12646484375,0.12646484375,0.142578125,0.14501953125,0.1630859375,0.169921875,NA,NA,NA,0.08984375,0.08984375,0.089599609375,0.08935546875,0.108154296875,0.10791015625,0.130859375,0.1533203125,0.17578125,0.19775390625,0.1025390625,0.10888671875,0.108642578125,0.12744140625,0.126953125,0.14697265625,0.17138671875,0.1748046875,0.19677734375,NA,0.089111328125,0.107666015625,NA,0.101318359375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6484375,2.6328125,2.6171875,2.7421875,2.6796875,2.6640625,2.3046875,2.3984375,2.1796875,2.015625,2.859375,2.8359375,2.8125,2.765625,2.625,2.5625,2.40625,2.3125,2.109375,1.9765625,2.8359375,2.78125,2.734375,2.6328125,2.515625,2.40625,2.2890625,NA,NA,NA,2.8671875,2.8359375,2.796875,2.7265625,2.59375,2.515625,2.359375,2.2109375,2.078125,1.9609375,2.90625,2.8515625,2.8125,2.6875,2.5859375,2.4453125,2.3046875,2.1796875,2.0546875,NA,2.8046875,2.5859375,NA,2.84375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-04-06,"CSN_06-067-0006",5,38.613779,-121.368014,15.3,8.5,25.5,760,0.003,0,0.036,0.057,0.0033,0.0708,0,0,0.0037,0.004,0.002,0.02,0.025,0.0717,0.001,0.052,0.003,0.018,0.288,0.001,0,0.0073,0,0.5972,0.009,0,0.158,0.029,0,0.006,0,0.001,0.001,0.231,NA,0.17,0,0.688,NA,NA,NA,1.27,"P042_002443","P042",-121.367454528809,38.6103553771973,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,345,2.65120840072632,NA,0.0968160703778267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-04-06,"CSN_06-085-0004",5,37.339666,-121.888575,14.4,9.7,22.4,764,0,0.002,0.0163,0.106,0.001,0.0712,0,0,0.0025,0.007,0,0,0.008,0.0933,0,0.053,0.0033,0.013,0.454,0.0018,0,0.003,0,0.8765,0,0.001,0.139,0.03,0,0.0046,0,0.0051,0,1.751,NA,0.53,0,5.145,NA,NA,NA,2.34,"P042_004957","P042",-121.880142211914,37.337158203125,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,344,2.65120840072632,NA,0.097092017531395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-04-15,"CSN_06-019-0008",5,36.781333,-119.77319,16.4,10.1,24,749,0.003,0,0.018,0.058,0.001,0.0415,0,0,0,0,0.003,0,0.013,0.0595,0,0.0256,0,0.008,0.162,0.0073,0,0.0077,0,0.532,0,0.002,0.0818,0.013,0,0.004,0,0.002,0,0.719,NA,0.164,0,3.437,NA,NA,NA,1.275,"P041_002436","P041",-119.760032653809,36.77294921875,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6,337,1.44422173500061,NA,0.0955821424722672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-04-18,"CSN_06-085-0004",5,37.339666,-121.888575,14,7.5,20.8,762,0,0,0.0192,0.063,0.001,0.0372,0.001,0,0.0026,0.028,0.004,0,0.011,0.0645,0.006,0.021,0.001,0.021,0.186,0.0044,0.001,0.0111,0,0.2233,0,0,0.071,0.028,0.001,0.003,0,0.0031,0,0.137,NA,0.263,0,1.088,NA,NA,NA,0.65,"P046_006311","P046",-121.902542114258,37.3353614807129,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,344,2.65120840072632,NA,0.0971150472760201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-04-27,"CSN_06-067-0006",5,38.613779,-121.368014,16.2,11.3,22.3,757,0.003,0.0031,0.075,0.043,0.001,0.0855,0,0,0.001,0.13,0,0.06,0.007,0.1087,0.003,0.054,0.0033,0.008,0.239,0.0461,0,0,0,0.3106,0,0.001,0.2489,0.023,0,0.0074,0,0.001,0.001,0.204,NA,0.2,0,0.321,NA,NA,NA,0.67,"P045_006701","P045",-121.365684509277,38.6252059936523,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.020833333954215,6,345,2.65120840072632,NA,0.0968045890331268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-05-15,"CSN_06-019-0008",5,36.781333,-119.77319,17.9,12.1,25.6,749,0,0.001,0.026,0.06,0.001,0.0551,0,0,0.002,0.049,0,0.022,0,0.0606,0.002,0.0535,0,0.003,0.257,0.0089,0,0.001,0,0.2531,0.008,0.001,0.1225,0.028,0,0.0043,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P043_009097","P043",-119.768997192383,36.7945556640625,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0763888880610466,5,334,1.6894017457962,NA,0.0955707654356956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
