date,path,orbit
2000-03-01,14,1082
2000-03-01,30,1083
2000-03-01,78,1086
2000-03-01,103,1073
2000-03-01,119,1074
2000-03-01,135,1075
2000-03-01,151,1076
2000-03-01,167,1077
2000-03-01,183,1078
2000-03-01,199,1079
2000-03-01,215,1080
2000-03-01,231,1081
2000-03-02,5,1096
2000-03-02,21,1097
2000-03-02,37,1098
2000-03-02,85,1101
2000-03-02,94,1087
2000-03-02,110,1088
2000-03-02,126,1089
2000-03-02,142,1090
2000-03-02,158,1091
2000-03-02,174,1092
2000-03-02,190,1093
2000-03-02,206,1094
2000-03-02,222,1095
2000-03-03,12,1111
2000-03-03,28,1112
2000-03-03,60,1114
2000-03-03,76,1115
2000-03-03,92,1116
2000-03-03,101,1102
2000-03-03,117,1103
2000-03-03,133,1104
2000-03-03,149,1105
2000-03-03,165,1106
2000-03-03,181,1107
2000-03-03,197,1108
2000-03-03,213,1109
2000-03-03,229,1110
2000-03-04,3,1125
2000-03-04,19,1126
2000-03-04,35,1127
2000-03-04,51,1128
2000-03-04,67,1129
2000-03-04,83,1130
2000-03-04,108,1117
2000-03-04,188,1122
2000-03-04,204,1123
2000-03-04,220,1124
2000-03-05,10,1140
2000-03-05,26,1141
2000-03-05,42,1142
2000-03-05,58,1143
2000-03-05,74,1144
2000-03-05,90,1145
2000-03-05,99,1131
2000-03-05,115,1132
2000-03-05,131,1133
2000-03-05,147,1134
2000-03-05,163,1135
2000-03-05,179,1136
2000-03-05,195,1137
2000-03-05,211,1138
2000-03-05,227,1139
2000-03-06,1,1154
2000-03-06,17,1155
2000-03-06,33,1156
2000-03-06,49,1157
2000-03-06,65,1158
2000-03-06,106,1146
2000-03-06,122,1147
2000-03-06,138,1148
2000-03-06,154,1149
2000-03-06,170,1150
2000-03-06,186,1151
2000-03-06,202,1152
2000-03-06,218,1153
2000-03-07,8,1169
2000-03-07,24,1170
2000-03-07,40,1171
2000-03-07,56,1172
2000-03-07,72,1173
2000-03-07,88,1174
2000-03-07,97,1160
2000-03-07,113,1161
2000-03-07,129,1162
2000-03-07,145,1163
2000-03-07,161,1164
2000-03-07,177,1165
2000-03-07,193,1166
2000-03-07,209,1167
2000-03-08,15,1184
2000-03-08,47,1186
2000-03-08,63,1187
2000-03-08,79,1188
2000-03-08,104,1175
2000-03-08,120,1176
2000-03-08,136,1177
2000-03-08,184,1180
2000-03-08,200,1181
2000-03-08,216,1182
2000-03-08,232,1183
2000-03-09,6,1198
2000-03-09,22,1199
2000-03-09,38,1200
2000-03-09,54,1201
2000-03-09,70,1202
2000-03-09,95,1189
2000-03-09,111,1190
2000-03-09,127,1191
2000-03-09,143,1192
2000-03-09,159,1193
2000-03-09,223,1197
2000-03-10,13,1213
2000-03-10,29,1214
2000-03-10,45,1215
2000-03-10,61,1216
2000-03-10,77,1217
2000-03-10,102,1204
2000-03-10,118,1205
2000-03-10,134,1206
2000-03-10,150,1207
2000-03-10,166,1208
2000-03-10,182,1209
2000-03-10,198,1210
2000-03-10,214,1211
2000-03-10,230,1212
2000-03-11,4,1227
2000-03-11,20,1228
2000-03-11,36,1229
2000-03-11,52,1230
2000-03-11,68,1231
2000-03-11,84,1232
2000-03-11,93,1218
2000-03-11,109,1219
2000-03-11,125,1220
2000-03-11,141,1221
2000-03-11,157,1222
2000-03-11,173,1223
2000-03-11,189,1224
2000-03-11,205,1225
2000-03-11,221,1226
2000-03-12,11,1242
2000-03-12,27,1243
2000-03-12,43,1244
2000-03-12,59,1245
2000-03-12,75,1246
2000-03-12,91,1247
2000-03-12,100,1233
2000-03-12,116,1234
2000-03-12,132,1235
2000-03-12,148,1236
2000-03-12,164,1237
2000-03-12,180,1238
2000-03-12,196,1239
2000-03-12,212,1240
2000-03-12,228,1241
2000-03-13,2,1256
2000-03-13,18,1257
2000-03-13,34,1258
2000-03-13,50,1259
2000-03-13,66,1260
2000-03-13,107,1248
2000-03-13,123,1249
2000-03-13,139,1250
2000-03-13,155,1251
2000-03-13,171,1252
2000-03-13,187,1253
2000-03-13,203,1254
2000-03-13,219,1255
2000-03-14,9,1271
2000-03-14,25,1272
2000-03-14,57,1274
2000-03-14,73,1275
2000-03-14,89,1276
2000-03-14,146,1265
2000-03-14,162,1266
2000-03-14,178,1267
