"Var1","Var2","value"
"aod_mix_01","aod_mix_01",1
"aod_mix_02","aod_mix_01",0.995
"aod_mix_03","aod_mix_01",0.991
"aod_mix_04","aod_mix_01",0.987
"aod_mix_05","aod_mix_01",0.984
"aod_mix_06","aod_mix_01",0.981
"aod_mix_07","aod_mix_01",0.973
"aod_mix_08","aod_mix_01",0.962
"aod_mix_09","aod_mix_01",0.938
"aod_mix_10","aod_mix_01",0.901
"aod_mix_11","aod_mix_01",0.944
"aod_mix_12","aod_mix_01",0.941
"aod_mix_13","aod_mix_01",0.937
"aod_mix_14","aod_mix_01",0.93
"aod_mix_15","aod_mix_01",0.921
"aod_mix_16","aod_mix_01",0.911
"aod_mix_17","aod_mix_01",0.898
"aod_mix_18","aod_mix_01",0.881
"aod_mix_19","aod_mix_01",0.86
"aod_mix_20","aod_mix_01",0.831
"aod_mix_21","aod_mix_01",0.888
"aod_mix_22","aod_mix_01",0.885
"aod_mix_23","aod_mix_01",0.881
"aod_mix_24","aod_mix_01",0.873
"aod_mix_25","aod_mix_01",0.863
"aod_mix_26","aod_mix_01",0.852
"aod_mix_27","aod_mix_01",0.838
"aod_mix_28","aod_mix_01",0.824
"aod_mix_29","aod_mix_01",0.807
"aod_mix_30","aod_mix_01",0.79
"aod_mix_31","aod_mix_01",0.88
"aod_mix_32","aod_mix_01",0.876
"aod_mix_33","aod_mix_01",0.873
"aod_mix_34","aod_mix_01",0.867
"aod_mix_35","aod_mix_01",0.861
"aod_mix_36","aod_mix_01",0.854
"aod_mix_37","aod_mix_01",0.847
"aod_mix_38","aod_mix_01",0.836
"aod_mix_39","aod_mix_01",0.822
"aod_mix_40","aod_mix_01",0.803
"aod_mix_41","aod_mix_01",0.703
"aod_mix_42","aod_mix_01",0.69
"aod_mix_43","aod_mix_01",0.683
"aod_mix_44","aod_mix_01",0.681
"aod_mix_45","aod_mix_01",0.69
"aod_mix_46","aod_mix_01",0.706
"aod_mix_47","aod_mix_01",0.727
"aod_mix_48","aod_mix_01",0.746
"aod_mix_49","aod_mix_01",0.76
"aod_mix_50","aod_mix_01",0.765
"aod_mix_51","aod_mix_01",0.917
"aod_mix_52","aod_mix_01",0.892
"aod_mix_53","aod_mix_01",0.817
"aod_mix_54","aod_mix_01",0.895
"aod_mix_55","aod_mix_01",0.87
"aod_mix_56","aod_mix_01",0.805
"aod_mix_57","aod_mix_01",0.875
"aod_mix_58","aod_mix_01",0.851
"aod_mix_59","aod_mix_01",0.807
"aod_mix_60","aod_mix_01",0.848
"aod_mix_61","aod_mix_01",0.834
"aod_mix_62","aod_mix_01",0.816
"aod_mix_63","aod_mix_01",0.867
"aod_mix_64","aod_mix_01",0.849
"aod_mix_65","aod_mix_01",0.83
"aod_mix_66","aod_mix_01",0.811
"aod_mix_67","aod_mix_01",0.833
"aod_mix_68","aod_mix_01",0.81
"aod_mix_69","aod_mix_01",0.79
"aod_mix_70","aod_mix_01",0.781
"aod_mix_71","aod_mix_01",0.819
"aod_mix_72","aod_mix_01",0.815
"aod_mix_73","aod_mix_01",0.814
"aod_mix_74","aod_mix_01",0.81
"aod_mix_01","aod_mix_02",0.995
"aod_mix_02","aod_mix_02",1
"aod_mix_03","aod_mix_02",0.995
"aod_mix_04","aod_mix_02",0.989
"aod_mix_05","aod_mix_02",0.985
"aod_mix_06","aod_mix_02",0.982
"aod_mix_07","aod_mix_02",0.974
"aod_mix_08","aod_mix_02",0.964
"aod_mix_09","aod_mix_02",0.94
"aod_mix_10","aod_mix_02",0.904
"aod_mix_11","aod_mix_02",0.945
"aod_mix_12","aod_mix_02",0.942
"aod_mix_13","aod_mix_02",0.939
"aod_mix_14","aod_mix_02",0.932
"aod_mix_15","aod_mix_02",0.924
"aod_mix_16","aod_mix_02",0.914
"aod_mix_17","aod_mix_02",0.901
"aod_mix_18","aod_mix_02",0.885
"aod_mix_19","aod_mix_02",0.863
"aod_mix_20","aod_mix_02",0.835
"aod_mix_21","aod_mix_02",0.891
"aod_mix_22","aod_mix_02",0.888
"aod_mix_23","aod_mix_02",0.884
"aod_mix_24","aod_mix_02",0.876
"aod_mix_25","aod_mix_02",0.866
"aod_mix_26","aod_mix_02",0.855
"aod_mix_27","aod_mix_02",0.842
"aod_mix_28","aod_mix_02",0.827
"aod_mix_29","aod_mix_02",0.811
"aod_mix_30","aod_mix_02",0.793
"aod_mix_31","aod_mix_02",0.88
"aod_mix_32","aod_mix_02",0.877
"aod_mix_33","aod_mix_02",0.874
"aod_mix_34","aod_mix_02",0.868
"aod_mix_35","aod_mix_02",0.862
"aod_mix_36","aod_mix_02",0.856
"aod_mix_37","aod_mix_02",0.849
"aod_mix_38","aod_mix_02",0.839
"aod_mix_39","aod_mix_02",0.825
"aod_mix_40","aod_mix_02",0.807
"aod_mix_41","aod_mix_02",0.704
"aod_mix_42","aod_mix_02",0.691
"aod_mix_43","aod_mix_02",0.684
"aod_mix_44","aod_mix_02",0.683
"aod_mix_45","aod_mix_02",0.692
"aod_mix_46","aod_mix_02",0.709
"aod_mix_47","aod_mix_02",0.729
"aod_mix_48","aod_mix_02",0.749
"aod_mix_49","aod_mix_02",0.764
"aod_mix_50","aod_mix_02",0.769
"aod_mix_51","aod_mix_02",0.919
"aod_mix_52","aod_mix_02",0.895
"aod_mix_53","aod_mix_02",0.82
"aod_mix_54","aod_mix_02",0.897
"aod_mix_55","aod_mix_02",0.873
"aod_mix_56","aod_mix_02",0.808
"aod_mix_57","aod_mix_02",0.877
"aod_mix_58","aod_mix_02",0.853
"aod_mix_59","aod_mix_02",0.81
"aod_mix_60","aod_mix_02",0.85
"aod_mix_61","aod_mix_02",0.837
"aod_mix_62","aod_mix_02",0.819
"aod_mix_63","aod_mix_02",0.869
"aod_mix_64","aod_mix_02",0.852
"aod_mix_65","aod_mix_02",0.832
"aod_mix_66","aod_mix_02",0.813
"aod_mix_67","aod_mix_02",0.835
"aod_mix_68","aod_mix_02",0.812
"aod_mix_69","aod_mix_02",0.792
"aod_mix_70","aod_mix_02",0.783
"aod_mix_71","aod_mix_02",0.821
"aod_mix_72","aod_mix_02",0.816
"aod_mix_73","aod_mix_02",0.815
"aod_mix_74","aod_mix_02",0.811
"aod_mix_01","aod_mix_03",0.991
"aod_mix_02","aod_mix_03",0.995
"aod_mix_03","aod_mix_03",1
"aod_mix_04","aod_mix_03",0.991
"aod_mix_05","aod_mix_03",0.987
"aod_mix_06","aod_mix_03",0.983
"aod_mix_07","aod_mix_03",0.977
"aod_mix_08","aod_mix_03",0.966
"aod_mix_09","aod_mix_03",0.943
"aod_mix_10","aod_mix_03",0.908
"aod_mix_11","aod_mix_03",0.946
"aod_mix_12","aod_mix_03",0.944
"aod_mix_13","aod_mix_03",0.941
"aod_mix_14","aod_mix_03",0.934
"aod_mix_15","aod_mix_03",0.926
"aod_mix_16","aod_mix_03",0.916
"aod_mix_17","aod_mix_03",0.904
"aod_mix_18","aod_mix_03",0.888
"aod_mix_19","aod_mix_03",0.867
"aod_mix_20","aod_mix_03",0.839
"aod_mix_21","aod_mix_03",0.894
"aod_mix_22","aod_mix_03",0.89
"aod_mix_23","aod_mix_03",0.887
"aod_mix_24","aod_mix_03",0.879
"aod_mix_25","aod_mix_03",0.87
"aod_mix_26","aod_mix_03",0.859
"aod_mix_27","aod_mix_03",0.846
"aod_mix_28","aod_mix_03",0.831
"aod_mix_29","aod_mix_03",0.815
"aod_mix_30","aod_mix_03",0.798
"aod_mix_31","aod_mix_03",0.881
"aod_mix_32","aod_mix_03",0.878
"aod_mix_33","aod_mix_03",0.875
"aod_mix_34","aod_mix_03",0.869
"aod_mix_35","aod_mix_03",0.864
"aod_mix_36","aod_mix_03",0.859
"aod_mix_37","aod_mix_03",0.852
"aod_mix_38","aod_mix_03",0.842
"aod_mix_39","aod_mix_03",0.829
"aod_mix_40","aod_mix_03",0.811
"aod_mix_41","aod_mix_03",0.704
"aod_mix_42","aod_mix_03",0.692
"aod_mix_43","aod_mix_03",0.685
"aod_mix_44","aod_mix_03",0.684
"aod_mix_45","aod_mix_03",0.694
"aod_mix_46","aod_mix_03",0.711
"aod_mix_47","aod_mix_03",0.732
"aod_mix_48","aod_mix_03",0.752
"aod_mix_49","aod_mix_03",0.767
"aod_mix_50","aod_mix_03",0.773
