"","Month","Unique_Sites","Total_Observations","Mean_Dust_Mass"
"1","February 2000",1,4,0.19837725
"2","March 2000",2,5,0.5618768
"3","April 2000",3,15,0.730575
"4","May 2000",2,9,0.614708777777778
"5","June 2000",2,9,0.421346666666667
"6","July 2000",3,24,0.667311791666667
"7","August 2000",2,6,0.9387155
"8","September 2000",3,12,0.85869175
"9","October 2000",2,20,0.96461685
"10","November 2000",2,18,0.636776388888889
"11","December 2000",2,15,1.04298778571429
"12","January 2001",3,13,0.655903384615385
"13","February 2001",3,25,0.53045976
"14","March 2001",3,30,0.5748705
"15","April 2001",3,23,0.913121826086957
"16","May 2001",6,44,1.64488002380952
"17","June 2001",6,47,1.09219429787234
"18","July 2001",6,57,0.853716532142857
"19","August 2001",6,60,1.17572538333333
"20","September 2001",6,50,1.58963836734694
"21","October 2001",7,63,1.89958688888889
"22","November 2001",6,61,0.972262316666667
"23","December 2001",6,67,0.580760746268657
"24","January 2002",10,66,0.697045590909091
"25","February 2002",11,75,1.17050232394366
"26","March 2002",12,89,1.01938484269663
"27","April 2002",12,80,1.4013583375
"28","May 2002",12,74,1.39977302739726
"29","June 2002",13,95,1.33193146315789
"30","July 2002",13,112,1.16353818018018
"31","August 2002",13,90,1.20612763333333
"32","September 2002",13,93,1.50038981521739
"33","October 2002",14,98,1.34712952040816
"34","November 2002",15,96,1.20813147368421
"35","December 2002",15,94,0.752318340425532
"36","January 2003",15,97,0.872378604166667
"37","February 2003",15,99,0.80096302020202
"38","March 2003",15,105,0.686547647619048
"39","April 2003",15,100,0.613866575757576
"40","May 2003",15,95,0.9482848
"41","June 2003",15,96,1.00103661458333
"42","July 2003",15,103,1.3415017184466
"43","August 2003",15,103,1.08373705825243
"44","September 2003",15,87,1.29347156321839
"45","October 2003",15,90,1.79392326666667
"46","November 2003",15,107,0.98479876635514
"47","December 2003",15,99,0.95445098989899
"48","January 2004",15,116,0.773261543103448
"49","February 2004",15,105,0.54119920952381
"50","March 2004",15,118,1.13425748717949
