,Month,Unique_Sites,Total_Observations,Mean_Nitrate,mean sites,,,,,
1,Feb-00,1,4,0.73675,2.181818182,,,,,
2,Mar-00,2,5,2.0016,,,,,,
3,Apr-00,3,15,1.564714286,,,,,,
4,May-00,2,9,1.155666667,,,,,,
5,Jun-00,2,9,2.104555556,,,,Year,PM2.5 Sites (N),Speciation Sites (N)
6,Jul-00,3,24,1.397333333,,,,2000,79,2
7,Aug-00,2,6,1.8035,,,,2001,79,5
8,Sep-00,3,12,2.505,,,,2002,79,13
9,Oct-00,2,20,5.7542,,,,2003,82,15
10,Nov-00,2,18,8.948571429,,,,2004,80,15
11,Dec-00,2,15,7.849166667,,,,2005,82,15
12,Jan-01,3,13,10.78653846,5.083333333,,,2006,83,15
13,Feb-01,3,25,5.83284,,,,2007,84,16
14,Mar-01,3,30,4.713,,,,2008,86,16
15,Apr-01,3,23,1.569217391,,,,2009,91,17
16,May-01,6,44,2.674052632,,,,2010,95,17
17,Jun-01,6,47,3.315309524,,,,2011,98,17
18,Jul-01,6,57,3.2238,,,,2012,107,17
19,Aug-01,6,60,2.959016667,,,,2013,107,17
20,Sep-01,6,50,4.570731707,,,,2014,101,14
21,Oct-01,7,63,7.053403226,,,,2015,107,14
22,Nov-01,6,61,14.85935,,,,2016,111,13
23,Dec-01,6,67,5.202166667,,,,2017,112,13
24,Jan-02,10,66,10.36166667,12.75,,,2018,115,13
25,Feb-02,11,75,11.76134247,,,,2019,116,14
26,Mar-02,12,89,5.02,,,,2020,118,9
27,Apr-02,12,80,4.520088608,,,,2021,115,13
28,May-02,12,74,2.823157143,,,,,,
29,Jun-02,13,95,4.079280899,,,,,,
30,Jul-02,13,112,3.016102041,,,,,,
31,Aug-02,13,90,4.144493827,,,,,,
32,Sep-02,13,93,3.084625,,,,,,
33,Oct-02,14,98,6.763132653,,,,,,
34,Nov-02,15,96,12.48042105,,,,,,
35,Dec-02,15,94,7.230053763,,,,,,
36,Jan-03,15,97,8.527979381,15,,,,,
37,Feb-03,15,99,4.246636364,,,,,,
38,Mar-03,15,105,4.038836538,,,,,,
39,Apr-03,15,100,1.887636364,,,,,,
40,May-03,15,95,3.277105263,,,,,,
41,Jun-03,15,96,3.851463158,,,,,,
42,Jul-03,15,103,2.771754902,,,,,,
43,Aug-03,15,103,2.348174757,,,,,,
44,Sep-03,15,87,4.21055,,,,,,
45,Oct-03,15,90,4.662593023,,,,,,
46,Nov-03,15,107,6.16927619,,,,,,
47,Dec-03,15,99,5.03621875,,,,,,
48,Jan-04,15,116,7.426646552,14.75,,,,,
49,Feb-04,15,105,3.984272727,,,,,,
50,Mar-04,15,118,6.248637168,,,,,,
51,Apr-04,15,103,3.367584158,,,,,,
52,May-04,15,109,2.008495238,,,,,,
53,Jun-04,15,110,3.524638095,,,,,,
54,Jul-04,15,100,2.421166667,,,,,,
55,Aug-04,14,107,3.122897196,,,,,,
56,Sep-04,14,101,2.80730303,,,,,,
57,Oct-04,14,102,5.182,,,,,,
58,Nov-04,15,102,6.842643564,,,,,,
59,Dec-04,15,102,5.481956122,,,,,,
60,Jan-05,15,113,4.801,15,,,,,
61,Feb-05,15,99,5.27534375,,,,,,
62,Mar-05,15,105,4.692028846,,,,,,
63,Apr-05,15,100,2.13092,,,,,,
64,May-05,15,120,2.961891667,,,,,,
65,Jun-05,15,98,2.495622449,,,,,,
66,Jul-05,15,109,2.699,,,,,,
67,Aug-05,15,110,2.872127273,,,,,,
68,Sep-05,15,101,3.379605941,,,,,,
69,Oct-05,15,132,4.206583333,,,,,,
70,Nov-05,15,110,8.742774545,,,,,,
71,Dec-05,15,109,7.811100917,,,,,,
72,Jan-06,15,110,5.757428182,15,,,,,
73,Feb-06,15,113,7.303628319,,,,,,
74,Mar-06,15,112,2.850642857,,,,,,
75,Apr-06,15,110,2.104563636,,,,,,
76,May-06,15,108,4.888842593,,,,,,
77,Jun-06,15,107,1.989682243,,,,,,
78,Jul-06,15,105,1.720590476,,,,,,
79,Aug-06,15,118,2.295889831,,,,,,
80,Sep-06,15,102,2.635833333,,,,,,
81,Oct-06,15,118,3.431328814,,,,,,
82,Nov-06,15,117,5.840179487,,,,,,
83,Dec-06,15,113,7.966657143,,,,,,
84,Jan-07,15,108,8.421786408,15,,,,,
85,Feb-07,15,87,5.761494253,,,,,,
86,Mar-07,15,133,3.390475188,,,,,,
