Month,Unique_Sites,Total_Observations,Mean_PM25,mean sites,,,
Jan-00,75,1003,21.08384845,78.5,,,
Feb-00,78,820,11.46414634,,,,
Mar-00,78,948,12.21445148,,,,
Apr-00,77,777,12.47889318,,,Year,PM2.5 Sites (N)
May-00,79,783,12.16832695,,,2000,79
Jun-00,80,778,11.29614396,,,2001,79
Jul-00,80,822,12.45596107,,,2002,79
Aug-00,81,860,12.65255814,,,2003,82
Sep-00,79,831,12.34753309,,,2004,80
Oct-00,78,959,15.23952033,,,2005,82
Nov-00,78,908,24.23160793,,,2006,83
Dec-00,79,918,27.93921569,,,2007,84
Jan-01,79,966,25.23385093,79.08333333,,2008,86
Feb-01,80,891,13.67463524,,,2009,91
Mar-01,80,1027,14.92453749,,,2010,95
Apr-01,80,829,11.92436671,,,2011,98
May-01,80,943,15.25100742,,,2012,107
Jun-01,80,812,12.17142857,,,2013,107
Jul-01,79,810,11.96259259,,,2014,101
Aug-01,77,819,12.88278388,,,2015,107
Sep-01,79,832,13.46105769,,,2016,111
Oct-01,79,1043,18.1472675,,,2017,112
Nov-01,78,974,23.26570842,,,2018,115
Dec-01,78,982,16.64226069,,,2019,116
Jan-02,79,953,21.29181532,78.58333333,,2020,118
Feb-02,77,963,20.03322949,,,2021,115
Mar-02,79,1030,11.30398058,,,,
Apr-02,80,876,12.65445205,,,,
May-02,77,844,10.81670616,,,,
Jun-02,78,878,12.72369021,,,,
Jul-02,78,969,12.92610939,,,,
Aug-02,78,867,19.21868512,,,,
Sep-02,78,882,12.93027211,,,,
Oct-02,79,1056,17.4625,,,,
Nov-02,80,1029,23.0617104,,,,
Dec-02,80,1077,20.57400186,,,,
Jan-03,82,1057,20.2422895,81.58333333,,,
Feb-03,82,978,12.25112474,,,,
Mar-03,82,1107,10.57949413,,,,
Apr-03,82,886,6.778668172,,,,
May-03,82,859,11.85774156,,,,
Jun-03,82,851,13.26145711,,,,
Jul-03,80,840,14.14690476,,,,
Aug-03,81,957,10.38359457,,,,
Sep-03,81,859,15.81874272,,,,
Oct-03,82,1006,17.92614314,,,,
Nov-03,82,1018,17.50933202,,,,
Dec-03,81,1055,16.93004739,,,,
Jan-04,80,1091,20.50366636,80,,,
Feb-04,80,964,11.48547718,,,,
Mar-04,78,1086,14.82430939,,,,
Apr-04,79,833,11.59579832,,,,
May-04,80,884,9.620361991,,,,
Jun-04,81,900,12.20466667,,,,
Jul-04,80,904,11.46548673,,,,
Aug-04,80,954,11.08857442,,,,
Sep-04,81,898,11.58017817,,,,
Oct-04,81,1062,13.13822976,,,,
Nov-04,80,1013,17.89842053,,,,
Dec-04,80,1041,17.65465898,,,,
Jan-05,79,1059,14.22870633,81.5,,,
Feb-05,79,1011,11.90939664,,,,
Mar-05,82,1155,10.74268398,,,,
Apr-05,81,893,8.780067189,,,,
May-05,83,936,9.783226496,,,,
Jun-05,82,830,9.17746988,,,,
Jul-05,83,876,13.30057078,,,,
Aug-05,81,893,12.63885778,,,,
Sep-05,83,876,11.77522831,,,,
Oct-05,81,1107,12.72131888,,,,
Nov-05,81,1015,17.55339901,,,,
Dec-05,83,1081,20.4666975,,,,
Jan-06,84,1086,13.76685083,83.41666667,,,
Feb-06,84,1040,15.99730769,,,,
Mar-06,84,1105,7.060723982,,,,
Apr-06,83,868,7.024308756,,,,
May-06,84,894,13.45246085,,,,
Jun-06,84,825,11.39636364,,,,
Jul-06,84,903,11.95669989,,,,
Aug-06,84,903,11.69125138,,,,
Sep-06,83,890,13.1805618,,,,
Oct-06,82,1004,11.47709163,,,,
Nov-06,82,954,15.69622642,,,,
Dec-06,83,1026,19.83732943,,,,
Jan-07,84,970,19.52051546,84.25,,,
Feb-07,84,922,13.47581345,,,,
Mar-07,85,1117,10.49973142,,,,
Apr-07,85,889,9.507311586,,,,
May-07,85,915,10.81289617,,,,
Jun-07,83,878,10.32722096,,,,
Jul-07,84,877,10.8663626,,,,
Aug-07,83,906,10.47306843,,,,
Sep-07,83,853,9.636811254,,,,
Oct-07,84,977,12.46325486,,,,
Nov-07,86,981,21.50468909,,,,
Dec-07,85,968,14.43264463,,,,
Jan-08,85,1006,12.12236581,85.75,,,
Feb-08,85,880,12.23931818,,,,
Mar-08,85,1079,9.682113068,,,,
Apr-08,85,856,9.561214953,,,,
May-08,85,870,10.24229885,,,,
