"","Month","Unique_Sites","Total_Observations","Mean_Sulfate"
"1","February 2000",1,4,0.405
"2","March 2000",2,5,0.8848
"3","April 2000",3,15,1.17292857142857
"4","May 2000",2,9,0.982333333333333
"5","June 2000",2,9,1.913
"6","July 2000",3,24,1.82729166666667
"7","August 2000",2,6,1.92016666666667
"8","September 2000",3,12,2.03175
"9","October 2000",2,20,1.69415
"10","November 2000",2,18,1.419
"11","December 2000",2,15,1.22566666666667
"12","January 2001",3,13,1.11007692307692
"13","February 2001",3,25,0.86536
"14","March 2001",3,30,1.50966666666667
"15","April 2001",3,23,1.13008695652174
"16","May 2001",6,44,2.33536842105263
"17","June 2001",6,47,2.3727380952381
"18","July 2001",6,57,2.59665454545455
"19","August 2001",6,60,2.44318333333333
"20","September 2001",6,50,2.83565853658537
"21","October 2001",7,63,2.86596774193548
"22","November 2001",6,61,2.17606666666667
"23","December 2001",6,67,1.0195303030303
"24","January 2002",10,66,1.70468181818182
"25","February 2002",11,75,1.40113698630137
"26","March 2002",12,89,1.08546590909091
"27","April 2002",12,80,2.35856962025316
"28","May 2002",12,74,1.72182857142857
"29","June 2002",13,95,3.00179775280899
"30","July 2002",13,112,3.20867346938775
"31","August 2002",13,90,2.79879012345679
"32","September 2002",13,93,2.20511363636364
"33","October 2002",14,98,2.60612244897959
"34","November 2002",15,96,1.62991578947368
"35","December 2002",15,94,1.12324731182796
"36","January 2003",15,97,1.76107216494845
"37","February 2003",15,99,0.975888888888889
"38","March 2003",15,105,1.32113461538462
"39","April 2003",15,100,1.15960606060606
"40","May 2003",15,95,1.99568421052632
"41","June 2003",15,96,2.79989473684211
"42","July 2003",15,103,3.03950980392157
"43","August 2003",15,103,2.02393203883495
"44","September 2003",15,87,2.72355
"45","October 2003",15,90,1.931
"46","November 2003",15,107,0.904876190476191
"47","December 2003",15,99,0.733666666666667
"48","January 2004",15,116,1.32434482758621
"49","February 2004",15,105,0.670888888888889
"50","March 2004",15,118,2.00451327433628
"51","April 2004",15,103,2.11628712871287
"52","May 2004",15,109,1.91750476190476
"53","June 2004",15,110,2.78814285714286
"54","July 2004",15,100,2.53257777777778
"55","August 2004",14,107,2.98775700934579
"56","September 2004",14,101,2.04288888888889
"57","October 2004",14,102,2.14459595959596
"58","November 2004",15,102,1.39788118811881
"59","December 2004",15,102,1.04665306122449
"60","January 2005",15,113,1.23740384615385
"61","February 2005",15,99,1.16689583333333
"62","March 2005",15,105,1.58643269230769
"63","April 2005",15,100,1.30696
"64","May 2005",15,120,2.35245833333333
"65","June 2005",15,98,2.16419387755102
"66","July 2005",15,109,3.3482752293578
"67","August 2005",15,110,3.19697272727273
"68","September 2005",15,101,2.53530693069307
"69","October 2005",15,132,1.8424696969697
"70","November 2005",15,110,1.4908
"71","December 2005",15,109,1.28261467889908
"72","January 2006",15,110,1.03438181818182
"73","February 2006",15,113,1.22
"74","March 2006",15,112,0.782419642857143
"75","April 2006",15,110,1.18758181818182
"76","May 2006",15,108,2.97324074074074
"77","June 2006",15,107,2.40485046728972
"78","July 2006",15,105,2.95847619047619
"79","August 2006",15,118,2.46296610169492
"80","September 2006",15,102,2.1593431372549
"81","October 2006",15,118,1.49582203389831
"82","November 2006",15,117,1.4908547008547
"83","December 2006",15,113,0.793285714285714
"84","January 2007",15,108,0.822407766990291
"85","February 2007",15,87,0.900390804597701
"86","March 2007",15,133,1.42884962406015
"87","April 2007",15,110,1.90966363636364
"88","May 2007",15,120,2.46455084745763
"89","June 2007",15,119,2.50975630252101
"90","July 2007",15,115,2.61072173913043
"91","August 2007",15,120,2.0454347826087
"92","September 2007",15,118,1.81640517241379
"93","October 2007",15,122,1.35795901639344
"94","November 2007",15,110,2.30542727272727
"95","December 2007",15,110,0.772636363636364
"96","January 2008",15,113,0.938517857142857
"97","February 2008",15,100,1.09589898989899
"98","March 2008",15,128,1.33495833333333
"99","April 2008",15,114,1.45818584070796
"100","May 2008",15,107,2.06560747663551
"101","June 2008",17,123,2.16050409836066
"102","July 2008",17,136,2.70146240601504
"103","August 2008",17,132,2.31768153846154
"104","September 2008",17,148,2.51714527027027
"105","October 2008",17,128,1.67257734375
"106","November 2008",17,130,1.27038492063492
"107","December 2008",16,125,1.25939756097561
"108","January 2009",16,172,0.920044910179641
"109","February 2009",15,122,0.527296721311475
"110","March 2009",15,148,1.65146013513514
"111","April 2009",16,157,1.77386346153846
"112","May 2009",16,168,2.82917891566265
"113","June 2009",16,151,2.34874551724138
"114","July 2009",17,159,2.16152578616352
"115","August 2009",17,175,2.0522567251462
"116","September 2009",17,164,1.81775925925926
"117","October 2009",17,171,0.947763157894737
"118","November 2009",17,172,0.929549112426036
"119","December 2009",17,162,0.911172151898734
"120","January 2010",17,118,0.873168103448276
"121","February 2010",17,126,0.880367479674797
"122","March 2010",17,141,0.782205147058823
"123","April 2010",17,106,1.28336530612245
"124","May 2010",17,128,1.15762777777778
"125","June 2010",17,135,1.46965338345865
"126","July 2010",17,162,2.11206352201258
"127","August 2010",17,131,1.29400769230769
"128","September 2010",17,130,1.42906434108527
"129","October 2010",17,145,1.15218111888112
"130","November 2010",17,135,0.728022962962963
"131","December 2010",17,137,0.697063503649635
"132","January 2011",17,160,1.02725987261147
"133","February 2011",17,157,0.525307741935484
"134","March 2011",17,156,0.782737254901961
"135","April 2011",17,142,1.15427323943662
"136","May 2011",17,134,1.10231791044776
"137","June 2011",17,152,1.42962913907285
"138","July 2011",17,131,1.6914576
"139","August 2011",17,167,1.91964785276074
"140","September 2011",17,130,2.08867751937985
"141","October 2011",17,162,1.419885
"142","November 2011",17,157,0.881906493506494
"143","December 2011",17,158,0.974742307692308
"144","January 2012",17,156,0.747634838709677
"145","February 2012",17,150,0.692854054054054
"146","March 2012",17,174,0.748061904761905
"147","April 2012",17,155,1.32498533333333
"148","May 2012",18,165,1.53684512195122
"149","June 2012",17,166,1.25550240963855
"150","July 2012",17,158,1.59622165605096
"151","August 2012",17,169,1.3170575
"152","September 2012",17,168,1.50429759036145
"153","October 2012",16,168,0.940065
"154","November 2012",16,175,0.715945977011494
"155","December 2012",18,191,0.583937096774194
"156","January 2013",18,209,0.519548258706468
"157","February 2013",18,200,0.583485863874346
"158","March 2013",18,202,0.992
"159","April 2013",18,206,1.09301761658031
"160","May 2013",18,218,1.33266666666667
"161","June 2013",18,207,1.15265257731959
"162","July 2013",18,229,1.50493657407407
"163","August 2013",17,182,1.0823011627907
"164","September 2013",17,202,0.878876683937824
"165","October 2013",16,231,1.09292675438596
"166","November 2013",16,201,0.814853266331658
"167","December 2013",17,201,0.72818947368421
"168","January 2014",16,208,0.909168926553672
"169","February 2014",16,209,0.577663333333333
"170","March 2014",15,176,0.769517283950617
"171","April 2014",15,190,1.0443049382716
"172","May 2014",13,174,0.773909933774834
"173","June 2014",14,192,1.20381548387097
"174","July 2014",13,187,1.05692
"175","August 2014",13,184,1.15971483870968
"176","September 2014",13,180,1.13363393939394
"177","October 2014",14,194,0.867579274611399
"178","November 2014",16,198,0.90337806122449
"179","December 2014",16,265,0.565085496183206
"180","January 2015",14,193,1.14706451612903
"181","February 2015",14,156,0.899598701298701
"182","March 2015",14,228,0.750912442396313
"183","April 2015",14,190,1.00257297297297
"184","May 2015",14,206,1.32042051282051
"185","June 2015",14,183,1.41708287292818
